Timestamp;(left_eye_origin.x,left_eye_origin.y,left_eye_origin.z);(left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z);(right_eye_origin.x,right_eye_origin.y,right_eye_origin.z);(right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z);(combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z);(combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z);(Camera_position.x,Camera_position.y,Camera_position.z);(Camera_rotation.x,Camera_rotation.y,Camera_rotation.z,Camera_rotation.w);(hitpoint.x,hitpoint.y,hitpoint.z);hitpoint_name;messages;
0.33987;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;StartTrial124stim0;
0.38854;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.40108;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.40698;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.41697;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.42663;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.43628;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.44643;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.45730;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.46693;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.47612;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
