Timestamp;(left_eye_origin.x,left_eye_origin.y,left_eye_origin.z);(left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z);(right_eye_origin.x,right_eye_origin.y,right_eye_origin.z);(right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z);(combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z);(combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z);(Camera_position.x,Camera_position.y,Camera_position.z);(Camera_rotation.x,Camera_rotation.y,Camera_rotation.z,Camera_rotation.w);(hitpoint.x,hitpoint.y,hitpoint.z);hitpoint_name;messages;
0.33987;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;StartTrial124stim0;
0.48669;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.49682;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.51189;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.51859;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.52861;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.53906;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.55383;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.55988;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.56937;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.57914;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.59042;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.59991;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.60897;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.61964;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.62862;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.63783;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.64839;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.65842;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.66860;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.67808;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.68803;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.69848;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.70791;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.71689;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.72744;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.74025;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.74809;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.75675;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.76671;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.77715;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.78688;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.79606;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.80626;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.81576;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.82505;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.83461;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.84499;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.85411;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.86376;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.87420;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.88514;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.89492;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.90408;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.91360;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.92434;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.93328;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.94241;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.95484;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.96382;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.97312;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.98303;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
0.99320;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
1.00208;(-0.02800, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.03372, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(0.00286, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(0.374, 2.537, 4.418);(0.142, -0.693, 0.693, 0.142);(0.372, 0.000, 4.419);Ground;
