A_sph;A_add;B_sph;B_add;C_sph;C_add;answer;repeated
2.5;1;2.5;3;-2.5;3;0;0
0;1;0;3;5;3;0;0
-5;1;-5;3;5;1;0;0
-5;3;-5;3;8;1;0;0
0;1;0;1;8;1;0;0
8;1;8;1;0;1;0;0
-2.5;3;5;1;2.5;1;0;0
0;0;2.5;3;2.5;1;0;0
-2.5;3;2.5;1;5;1;0;0
0;3;-5;3;0;1;0;0
0;0;0;3;-2.5;1;0;0
0;0;0;3;5;3;0;0
-2.5;3;5;1;-2.5;1;0;0
2.5;1;-5;1;0;0;0;0
-5;3;-2.5;1;2.5;3;0;0
0;3;2.5;1;-5;3;0;0
-2.5;3;-2.5;3;8;1;0;0
0;0;-5;1;5;3;0;0
0;0;2.5;3;-2.5;3;0;0
0;3;5;1;2.5;3;0;0
0;3;0;0;8;1;0;0
-5;3;5;1;5;3;0;0
0;1;-2.5;1;2.5;1;0;0
5;1;-5;3;2.5;3;0;0
-2.5;3;5;1;0;1;0;0
0;3;0;0;8;1;0;0
0;3;-5;3;-2.5;1;0;0
-2.5;1;-2.5;1;8;1;0;0
2.5;1;0;3;-5;1;0;0
2.5;1;-2.5;1;5;1;0;0
0;3;-5;1;-5;3;0;0
0;3;0;3;8;1;0;0
-2.5;3;-5;1;0;1;0;0
5;1;0;1;-2.5;1;0;0
0;1;5;3;0;3;0;0
0;0;5;1;0;1;0;0
-2.5;1;-2.5;1;8;1;0;0
5;3;-2.5;3;0;3;0;0
2.5;3;5;3;0;1;0;0
0;1;8;1;0;0;0;0
-5;3;5;1;-2.5;1;0;0
0;3;0;1;2.5;3;0;0
8;1;-5;1;8;1;0;0
5;3;-2.5;1;0;3;0;0
-5;1;2.5;1;0;1;0;0
2.5;3;-2.5;3;0;3;0;0
8;1;-2.5;1;8;1;0;0
2.5;1;0;3;5;1;0;0
-5;1;0;1;5;3;0;0
5;3;2.5;1;0;3;0;0
0;0;-5;3;-5;1;0;0
0;1;2.5;3;0;0;0;0
5;1;2.5;3;0;0;0;0
-2.5;3;-5;1;2.5;1;0;0
0;1;-2.5;3;0;0;0;0
-2.5;1;-2.5;1;8;1;0;0
5;3;-2.5;1;0;0;0;0
-5;1;0;0;5;1;0;0
0;3;-2.5;3;0;1;0;0
-2.5;1;8;1;-2.5;1;0;0
8;1;0;1;8;1;0;0
0;0;-2.5;1;2.5;3;0;0
0;1;5;1;2.5;1;0;0
8;1;8;1;-2.5;3;0;0
8;1;8;1;-5;3;0;0
0;1;8;1;0;3;0;0
2.5;3;0;3;5;3;0;0
8;1;8;1;0;1;0;0
2.5;3;0;1;-2.5;1;0;0
8;1;-5;3;8;1;0;0
0;0;-5;3;0;3;0;0
2.5;3;-5;3;0;3;0;0
0;0;0;3;-5;3;0;0
8;1;8;1;-2.5;1;0;0
2.5;1;5;1;2.5;3;0;0
-5;3;5;1;-2.5;3;0;0
8;1;8;1;0;0;0;0
5;3;2.5;1;-2.5;3;0;0
-5;1;2.5;3;-2.5;3;0;0
-5;3;-5;1;-2.5;1;0;0
0;1;2.5;1;-2.5;3;0;0
8;1;-5;1;8;1;0;0
